iter	Passed	Remaining
252	2240	6613
253	2252	6615
254	2264	6615
255	2276	6617
256	2287	6613
257	2299	6613
258	2312	6614
259	2319	6601
260	2329	6597
261	2336	6582
262	2347	6578
263	2354	6563
264	2364	6557
265	2371	6545
266	2380	6536
267	2388	6523
268	2397	6514
269	2404	6501
270	2413	6492
271	2420	6479
272	2430	6473
273	2440	6467
274	2447	6453
275	2454	6439
276	2463	6430
277	2470	6416
278	2479	6407
279	2486	6393
280	2493	6380
281	2500	6366
282	2508	6354
283	2514	6340
284	2523	6330
285	2530	6317
286	2538	6307
287	2547	6297
288	2555	6287
289	2563	6275
290	2571	6265
291	2579	6253
292	2586	6242
293	2593	6228
294	2600	6215
295	2611	6210
296	2643	6257
297	2658	6261
298	2664	6247
299	2674	6241
300	2684	6234
301	2697	6233
302	2705	6223
303	2716	6220
304	2725	6210
305	2736	6206
306	2745	6197
307	2755	6191
308	2765	6184
309	2774	6176
310	2785	6170
311	2793	6160
312	2803	6154
313	2813	6147
314	2824	6142
315	2837	6141
316	2847	6136
317	2858	6130
318	2868	6123
319	2878	6115
320	2888	6109
321	2901	6108
322	2913	6106
323	2927	6107
324	2938	6103
325	2949	6098
326	2960	6093
327	2972	6090
328	2984	6087
329	2997	6084
330	3009	6082
331	3034	6104
332	3048	6105
333	3058	6098
334	3069	6093
335	3081	6089
336	3091	6081
337	3101	6074
338	3111	6067
339	3120	6057
340	3130	6050
341	3140	6041
342	3149	6033
343	3159	6025
344	3195	6066
345	3222	6091
346	3242	6101
347	3251	6091
348	3267	6094
349	3280	6092
350	3288	6081
351	3297	6071
352	3306	6060
353	3315	6049
354	3324	6040
355	3332	6028
356	3338	6013
357	3348	6003
358	3354	5989
359	3363	5980
360	3370	5966
361	3377	5952
362	3384	5938
363	3391	5925
364	3397	5910
365	3406	5900
366	3415	5890
367	3426	5884
368	3434	5873
369	3445	5866
370	3455	5858
371	3467	5852
372	3475	5842
373	3485	5833
374	3495	5825
375	3501	5811
376	3508	5797
377	3515	5784
378	3521	5770
379	3528	5756
380	3536	5746
381	3543	5732
382	3550	5719
383	3557	5706
384	3563	5692
385	3570	5679
386	3577	5667
387	3585	5656
388	3593	5643
389	3599	5630
390	3607	5618
391	3616	5608
392	3623	5596
393	3630	5584
394	3638	5573
395	3645	5560
396	3652	5547
397	3658	5534
398	3665	5521
399	3672	5508
400	3678	5495
401	3685	5483
402	3692	5470
403	3699	5457
404	3706	5445
405	3713	5432
406	3719	5420
407	3726	5407
408	3734	5396
409	3741	5384
410	3750	5374
411	3756	5361
412	3764	5350
413	3770	5337
414	3777	5325
415	3784	5312
416	3791	5300
417	3800	5291
418	3810	5283
419	3822	5278
420	3830	5268
421	3839	5258
422	3849	5251
423	3858	5241
424	3867	5232
425	3874	5220
426	3883	5211
427	3893	5203
428	3903	5195
429	3912	5186
430	3919	5174
431	3926	5163
432	3933	5150
433	3940	5139
434	3947	5127
435	3954	5115
436	3961	5104
437	3968	5092
438	3975	5080
439	3982	5068
440	3989	5056
441	3996	5044
442	4005	5035
443	4012	5024
444	4019	5012
445	4025	5000
446	4032	4988
447	4039	4976
448	4046	4965
449	4054	4955
450	4061	4943
451	4067	4931
452	4074	4920
453	4081	4908
454	4087	4896
455	4094	4884
456	4100	4872
457	4107	4860
458	4113	4848
459	4120	4837
460	4127	4825
461	4133	4813
462	4141	4803
463	4148	4792
464	4155	4781
465	4164	4771
466	4170	4760
467	4177	4748
468	4183	4736
469	4190	4725
470	4197	4714
471	4204	4702
472	4210	4691
473	4217	4679
474	4223	4668
475	4230	4656
476	4237	4645
477	4243	4634
478	4252	4625
479	4260	4616
480	4269	4606
481	4278	4598
482	4288	4589
483	4297	4581
484	4306	4573
485	4316	4565
486	4326	4556
487	4336	4550
488	4343	4539
489	4351	4529
490	4358	4517
491	4368	4510
492	4377	4501
493	4387	4494
494	4400	4489
495	4411	4482
496	4420	4473
497	4430	4465
498	4439	4456
499	4447	4447
500	4456	4438
501	4465	4429
502	4475	4422
503	4484	4413
504	4492	4403
505	4500	4393
506	4506	4382
507	4514	4371
508	4521	4361
509	4527	4350
510	4534	4339
511	4541	4328
512	4548	4317
513	4555	4307
514	4562	4297
515	4570	4286
516	4578	4277
517	4585	4266
518	4592	4256
519	4599	4245
520	4606	4234
521	4613	4224
522	4619	4213
523	4628	4204
524	4635	4193
525	4642	4183
526	4648	4172
527	4655	4161
528	4661	4150
529	4668	4140
530	4677	4131
531	4686	4122
532	4697	4115
533	4706	4107
534	4716	4099
535	4727	4092
536	4735	4082
537	4741	4071
538	4750	4063
539	4760	4055
540	4767	4044
541	4773	4034
542	4784	4026
543	4791	4016
544	4798	4006
545	4805	3995
546	4812	3985
547	4818	3974
548	4825	3964
549	4832	3953
550	4839	3943
551	4845	3932
552	4852	3922
553	4858	3911
554	4865	3900
555	4872	3890
556	4878	3880
557	4885	3869
558	4893	3860
559	4899	3849
560	4907	3840
561	4913	3829
562	4922	3820
563	4929	3810
564	4935	3800
565	4942	3789
566	4949	3779
567	4956	3769
568	4962	3759
569	4973	3751
570	4981	3742
571	4990	3733
572	4998	3725
573	5008	3716
574	5014	3706
575	5021	3696
576	5028	3686
577	5035	3676
578	5041	3665
579	5048	3655
580	5054	3645
581	5061	3635
582	5069	3625
583	5077	3617
584	5086	3608
585	5095	3599
586	5103	3590
587	5113	3582
588	5123	3574
589	5132	3566
590	5141	3558
591	5151	3550
592	5158	3540
593	5165	3530
594	5176	3523
595	5186	3515
596	5193	3505
597	5201	3496
598	5209	3487
599	5216	3477
600	5222	3467
601	5229	3457
602	5236	3447
603	5242	3437
604	5249	3427
605	5257	3417
606	5263	3408
607	5270	3398
608	5277	3388
609	5283	3378
610	5291	3368
611	5299	3359
612	5307	3350
613	5313	3340
614	5320	3330
615	5327	3320
616	5333	3310
617	5340	3301
618	5346	3291
619	5353	3281
620	5360	3271
621	5366	3261
622	5373	3251
623	5380	3241
624	5386	3232
625	5393	3222
626	5400	3212
627	5408	3203
628	5415	3193
629	5421	3183
630	5427	3174
631	5434	3164
632	5440	3154
633	5448	3145
634	5455	3135
635	5463	3126
636	5469	3117
637	5476	3107
638	5483	3097
639	5490	3088
640	5496	3078
641	5504	3069
642	5511	3060
643	5518	3050
644	5525	3041
645	5531	3031
646	5539	3022
647	5546	3012
648	5552	3003
649	5561	2994
650	5568	2985
651	5575	2975
652	5584	2967
653	5593	2959
654	5600	2949
655	5609	2941
656	5618	2933
657	5626	2924
658	5632	2914
659	5641	2906
660	5650	2898
661	5660	2889
662	5670	2882
663	5677	2873
664	5684	2863
665	5691	2854
666	5699	2845
667	5708	2836
668	5714	2827
669	5721	2817
670	5728	2808
671	5734	2799
672	5741	2789
673	5747	2780
674	5754	2770
675	5761	2761
676	5776	2756
677	5784	2747
678	5795	2739
679	5804	2731
680	5815	2723
681	5823	2715
682	5833	2707
683	5842	2699
684	5852	2691
685	5861	2683
686	5869	2674
687	5876	2664
688	5886	2657
689	5895	2648
690	5903	2640
691	5915	2632
692	5922	2623
693	5929	2614
694	5936	2605
695	5942	2595
696	5949	2586
697	5956	2577
698	5963	2567
699	5969	2558
700	5977	2549
701	5983	2540
702	5990	2530
703	5998	2522
704	6005	2512
705	6012	2503
706	6018	2494
707	6025	2485
708	6032	2475
709	6039	2466
710	6045	2457
711	6052	2448
712	6059	2439
713	6066	2429
714	6072	2420
715	6079	2411
716	6086	2402
717	6092	2392
718	6099	2383
719	6107	2375
720	6114	2365
721	6120	2356
722	6127	2347
723	6134	2338
724	6140	2329
725	6147	2320
726	6153	2310
727	6160	2301
728	6167	2292
729	6173	2283
730	6182	2275
731	6189	2266
732	6196	2256
733	6202	2247
734	6211	2239
735	6218	2230
736	6226	2221
737	6233	2212
738	6240	2203
739	6246	2194
740	6252	2185
741	6259	2176
742	6266	2167
743	6273	2158
744	6279	2149
745	6286	2140
746	6292	2131
747	6299	2122
748	6306	2113
749	6312	2104
750	6321	2095
751	6328	2086
752	6334	2077
753	6341	2068
754	6348	2059
755	6357	2051
756	6366	2043
757	6378	2036
758	6389	2028
759	6401	2021
760	6412	2013
761	6421	2005
762	6431	1997
763	6441	1989
764	6450	1981
765	6459	1973
766	6468	1964
767	6476	1956
768	6482	1947
769	6489	1938
770	6497	1929
771	6507	1921
772	6517	1913
773	6524	1905
774	6531	1896
775	6540	1888
776	6551	1880
777	6559	1871
778	6568	1863
779	6576	1854
780	6587	1847
781	6598	1839
782	6606	1830
783	6614	1822
784	6623	1813
785	6631	1805
786	6639	1796
787	6647	1788
788	6655	1779
789	6663	1771
790	6671	1762
791	6679	1754
792	6688	1745
793	6696	1737
794	6704	1728
795	6713	1720
796	6722	1712
797	6732	1704
798	6740	1695
799	6749	1687
800	6757	1678
801	6765	1670
802	6773	1661
803	6783	1653
804	6791	1645
805	6800	1636
806	6807	1628
807	6816	1619
808	6825	1611
809	6834	1603
810	6842	1594
811	6850	1586
812	6857	1577
813	6865	1568
814	6873	1560
815	6882	1552
816	6892	1543
817	6902	1535
818	6913	1527
819	6920	1519
820	6930	1511
821	6939	1502
822	6948	1494
823	6956	1485
824	6964	1477
825	6974	1469
826	6984	1461
827	6994	1452
828	7002	1444
829	7011	1436
830	7018	1427
831	7028	1419
832	7036	1410
833	7045	1402
834	7053	1393
835	7061	1385
836	7069	1376
837	7078	1368
838	7087	1360
839	7096	1351
840	7105	1343
841	7114	1334
842	7122	1326
843	7130	1318
844	7139	1309
845	7146	1300
846	7154	1292
847	7161	1283
848	7168	1275
849	7175	1266
850	7183	1257
851	7191	1249
852	7198	1240
853	7207	1232
854	7214	1223
855	7224	1215
856	7230	1206
857	7239	1198
858	7247	1189
859	7256	1181
860	7263	1172
861	7272	1164
862	7278	1155
863	7286	1147
864	7293	1138
865	7301	1129
866	7309	1121
867	7317	1112
868	7326	1104
869	7335	1096
870	7344	1087
871	7354	1079
872	7364	1071
873	7375	1063
874	7386	1055
875	7398	1047
876	7407	1038
877	7417	1030
878	7427	1022
879	7437	1014
880	7447	1006
881	7456	997
882	7466	989
883	7474	980
884	7492	973
885	7507	965
886	7518	957
887	7529	949
888	7539	941
889	7551	933
890	7560	924
891	7571	916
892	7582	908
893	7592	900
894	7602	891
895	7614	883
896	7625	875
897	7635	867
898	7647	859
899	7658	850
900	7669	842
901	7681	834
902	7692	826
903	7702	817
904	7714	809
905	7724	801
906	7734	793
907	7747	784
908	7757	776
909	7768	768
910	7780	760
911	7791	751
912	7801	743
913	7812	735
914	7825	726
915	7837	718
916	7847	710
917	7857	701
918	7867	693
919	7876	684
920	7885	676
921	7896	668
922	7906	659
923	7916	651
924	7926	642
925	7935	634
926	7946	625
927	7955	617
928	7965	608
929	7974	600
930	7981	591
931	7991	583
932	7998	574
933	8007	565
934	8014	557
935	8023	548
936	8032	540
937	8043	531
938	8050	522
939	8059	514
940	8066	505
941	8076	497
942	8082	488
943	8092	480
944	8098	471
945	8108	462
946	8115	454
947	8125	445
948	8131	436
949	8141	428
950	8148	419
951	8157	411
952	8164	402
953	8173	394
954	8180	385
955	8190	376
956	8197	368
957	8206	359
958	8213	351
959	8222	342
960	8228	333
961	8238	325
962	8245	316
963	8254	308
964	8261	299
965	8270	291
966	8277	282
967	8286	273
968	8293	265
969	8303	256
970	8310	248
971	8318	239
972	8324	231
973	8332	222
974	8342	213
975	8351	205
976	8362	196
977	8371	188
978	8381	179
979	8391	171
980	8400	162
981	8407	154
982	8415	145
983	8422	136
984	8430	128
985	8437	119
986	8447	111
987	8455	102
988	8463	94
989	8472	85
990	8481	77
991	8487	68
992	8496	59
993	8503	51
994	8511	42
995	8518	34
996	8527	25
997	8533	17
998	8541	8
999	8548	0
